#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
184,Montrezl Harrell\harremo01,C,24,LAC,38,3,14.8,3.4,5.7,0.601,0,0,0,3.4,5.7,0.604,0.601,1.4,2.4,0.593,1.3,2.5,3.8,0.7,0.4,0.7,0.8,1.4,8.3
185,Devin Harris\harride01,PG,34,DAL,39,1,18.6,2.7,6.6,0.41,1,2.9,0.354,1.7,3.7,0.455,0.488,2.2,2.7,0.819,0.2,1.7,1.9,1.9,0.8,0.2,1.1,2.3,8.6
186,Gary Harris\harriga01,SG,23,DEN,41,41,34.9,6.6,13.2,0.497,2.2,5.8,0.384,4.4,7.5,0.585,0.581,1.8,2.2,0.811,0.6,2.1,2.7,3.2,2,0.3,1.9,1.8,17.2
187,Joe Harris\harrijo01,SG,26,BRK,43,6,24.9,3.7,7.9,0.471,1.9,4.9,0.387,1.8,3,0.609,0.591,0.9,1.1,0.776,0.6,2.6,3.2,1.4,0.5,0.2,1,1.8,10.2
188,Tobias Harris\harrito02,PF,25,DET,43,43,32.5,6.6,14.5,0.458,2.4,5.7,0.424,4.2,8.8,0.48,0.542,2.4,2.9,0.837,0.8,4.4,5.2,1.9,0.7,0.3,1,1.8,18.1
189,Andrew Harrison\harrian01,PG,23,MEM,36,26,21.1,2.4,6.2,0.381,0.7,2.1,0.312,1.7,4.1,0.418,0.435,1.9,2.6,0.761,0.4,1.8,2.3,2.4,0.7,0.4,1.2,2.1,7.3
190,Josh Hart\hartjo01,SG,22,LAL,39,8,18.9,2,4.6,0.436,0.9,2.4,0.372,1.1,2.2,0.506,0.533,0.7,1,0.718,0.4,2.6,3.1,1,0.7,0.2,0.5,1.6,5.7
191,Udonis Haslem\hasleud01,C,37,MIA,8,0,5.6,0.3,0.6,0.4,0.1,0.4,0.333,0.1,0.3,0.5,0.5,0,0,0,0.3,0.4,0.6,0.4,0,0.1,0.3,0.3,0.6
192,Gordon Hayward\haywago01,SF,27,BOS,1,1,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,0,0,1,1,0,0,0,0,1,2
193,John Henson\hensojo01,C,27,MIL,43,36,24.8,3.7,6.2,0.59,0,0.1,0,3.7,6.1,0.598,0.59,1.1,2.1,0.551,1.9,4.9,6.8,1.3,0.5,1.5,1.3,2.8,8.5
194,Juan Hernangomez\hernaju01,PF,22,DEN,18,3,11.8,1.1,2.8,0.373,0.6,1.9,0.314,0.4,0.9,0.5,0.48,0.5,0.6,0.818,0.8,1.6,2.3,0.4,0.2,0.2,0.4,1,3.2
195,Willy Hernangomez\hernawi01,C,23,NYK,19,0,9.3,2.1,3.5,0.582,0.1,0.2,0.25,2,3.3,0.603,0.59,0.4,1.1,0.35,1.1,1.9,2.9,0.7,0.3,0.3,1.1,1.5,4.5
196,Mario Hezonja\hezonma01,SF,22,ORL,37,9,17.3,2.8,6.1,0.455,0.9,2.7,0.33,1.9,3.4,0.556,0.529,0.5,0.6,0.792,0.5,2.6,3.1,1,0.6,0.2,1,1.7,6.9
197,Buddy Hield\hieldbu01,SG,24,SAC,42,11,24,4.7,10.8,0.438,2,4.6,0.428,2.7,6.1,0.446,0.53,0.9,1,0.886,0.5,3,3.5,1.7,0.9,0.2,1.4,1.8,12.3
198,Nene Hilario\hilarne01,C,35,HOU,27,3,14.9,2.9,4.8,0.608,0,0.1,0,2.9,4.7,0.617,0.608,1.5,2.2,0.695,0.8,2.5,3.3,0.9,0.6,0.3,0.9,2.6,7.4
199,George Hill\hillge01,PG,31,SAC,37,36,27.2,3.6,7.9,0.462,1.4,3.1,0.456,2.2,4.8,0.466,0.551,1.8,2.3,0.774,0.5,2.4,3,2.7,0.9,0.3,1.5,1.7,10.5
200,Darrun Hilliard\hillida01,SG,24,SAS,6,0,8.3,0.2,1.5,0.111,0,0.5,0,0.2,1,0.167,0.111,0.2,0.3,0.5,0,0.7,0.7,0.7,0.3,0,0.5,0.8,0.5
201,Jrue Holiday\holidjr01,SG,27,NOP,44,44,36.9,7.3,14.7,0.497,1.7,5,0.342,5.6,9.8,0.576,0.555,2.2,2.8,0.803,0.6,3.8,4.4,5.1,1.5,0.6,2.7,2.3,18.6
202,Justin Holiday\holidju01,SG,28,CHI,44,44,34.2,4.5,11.8,0.382,2.5,6.5,0.383,2,5.3,0.381,0.488,2.2,2.6,0.833,0.6,4,4.6,2.3,1.1,0.6,1.3,1.9,13.7
203,John Holland\hollajo02,SF,29,CLE,4,0,4.3,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,0,0,0.5,0.5,0,0,0,0.3,0,0.8
204,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,42,41,28.5,5.3,11.1,0.478,0.2,0.9,0.25,5.1,10.3,0.497,0.487,3.8,4.8,0.797,1.5,5.1,6.6,2.2,0.9,0.7,1.7,2.1,14.7
205,Richaun Holmes\holmeri01,C,24,PHI,22,2,16.4,3,5.6,0.528,0.1,0.9,0.158,2.8,4.7,0.596,0.541,0.8,1.1,0.708,1.2,3.6,4.8,1.1,0.4,0.5,0.6,2.5,6.8
206,Rodney Hood\hoodro01,SG,25,UTA,35,11,28.2,5.9,14.5,0.409,2.7,7,0.386,3.2,7.4,0.431,0.503,2.1,2.5,0.862,0.3,2.5,2.9,1.7,0.8,0.2,1.7,1.7,16.7
207,Al Horford\horfoal01,C,31,BOS,41,41,32.6,5.4,10.4,0.52,1.4,3.3,0.434,4,7.1,0.56,0.589,1.1,1.6,0.723,1.5,6.4,7.9,5.3,0.6,1,2,1.8,13.4
208,Danuel House\houseda01,SG,24,PHO,11,0,12.9,1.4,3.9,0.349,0.5,1.7,0.263,0.9,2.2,0.417,0.407,1.4,1.5,0.882,0.5,1.6,2.1,0.5,0.4,0,0.5,0.9,4.5
209,Dwight Howard\howardw01,C,32,CHO,43,43,30.3,5.7,10.6,0.538,0,0,0,5.7,10.6,0.541,0.538,4.1,7.7,0.532,3.5,9,12.4,1.4,0.7,1.4,3.1,3.2,15.5
210,Josh Huestis\huestjo01,PF,26,OKC,39,1,14.7,1,2.7,0.365,0.5,1.8,0.29,0.5,0.9,0.514,0.462,0.1,0.3,0.273,0.6,1.8,2.3,0.3,0.3,0.7,0.5,1.3,2.5
211,R.J. Hunter\hunterj01,SG,24,HOU,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
212,Vince Hunter\huntevi01,PF,23,MEM,4,0,1.8,0.8,1.3,0.6,0,0,0,0.8,1.3,0.6,0.6,0,0,0,0.5,0.3,0.8,0,0,0.3,0.3,0,1.5
213,Serge Ibaka\ibakase01,PF,28,TOR,38,38,27.9,5.3,11,0.484,1.4,4,0.362,3.9,7,0.554,0.55,1.3,1.7,0.762,1,5.1,6.1,0.7,0.4,1.5,1.2,2.8,13.4
214,Andre Iguodala\iguodan01,SF,34,GSW,39,4,25.9,2.2,5.1,0.422,0.4,1.8,0.225,1.7,3.3,0.531,0.462,0.9,1.4,0.661,0.8,3,3.8,3.4,0.8,0.6,1.1,1.4,5.7
215,Ersan Ilyasova\ilyaser01,PF,30,ATL,33,27,26,4.2,9.2,0.459,1.5,3.8,0.405,2.7,5.4,0.497,0.543,1.5,1.9,0.762,1.9,3.9,5.8,1.2,0.9,0.3,1,2.1,11.4
216,Joe Ingles\inglejo01,SF,30,UTA,44,44,30.6,3.4,7.8,0.436,2.3,5.3,0.423,1.1,2.5,0.463,0.58,0.4,0.5,0.792,0.3,4,4.3,4.3,1,0.2,1.8,2.1,9.5
217,Brandon Ingram\ingrabr01,SF,20,LAL,41,41,34,5.9,12.9,0.46,0.6,1.6,0.358,5.3,11.2,0.475,0.483,3.4,5,0.676,1,4.3,5.3,3.4,0.8,0.7,2.6,2.9,15.9
218,Kyrie Irving\irvinky01,PG,25,BOS,43,43,32.7,8.8,18.6,0.473,2.6,6.7,0.39,6.2,11.9,0.519,0.543,3.9,4.4,0.884,0.6,3,3.6,5,1.2,0.3,2.4,2.2,24.1
219,Jonathan Isaac\isaacjo01,PF,20,ORL,15,2,18.9,2,4.9,0.405,0.3,1.2,0.278,1.7,3.7,0.446,0.439,0.9,1.2,0.778,0.8,2.9,3.7,0.7,0.7,1,1,1.7,5.3
